Data,precipitacao_mm,radiacao_media,temp_media,temp_max,temp_min,humidade_media,vento_rajada_max,vento_vel_media
2025-06-15,0.0,1569.675,17.620833333333334,24.1,10.7,65.70833333333333,7.3,2.283333333333333
2025-06-16,0.0,1534.4166666666667,18.433333333333334,24.4,13.8,58.541666666666664,9.1,2.7541666666666664
2025-06-17,0.0,1574.908333333333,18.341666666666665,25.3,13.4,62.458333333333336,8.1,2.591666666666667
2025-06-18,0.0,1324.3500000000001,19.233333333333334,25.4,14.2,66.33333333333333,7.8,2.5791666666666666
2025-06-19,0.0,1414.0833333333333,19.412499999999998,24.3,15.5,65.70833333333333,7.7,2.5458333333333334
2025-06-20,0.0,1503.4750000000001,18.9375,25.4,11.3,61.666666666666664,7.3,1.6958333333333335
2025-06-21,0.0,1586.2333333333333,19.395833333333332,26.7,11.8,57.25,7.2,1.5875000000000001
2025-06-22,0.0,1595.6499999999999,19.704166666666666,27.7,13.2,59.541666666666664,7.1,1.6791666666666665
2025-06-23,0.0,1472.7666666666667,20.479166666666668,28.7,13.7,59.833333333333336,6.5,1.1875
2025-06-24,0.0,953.9,19.120833333333334,24.6,16.3,75.0,8.4,2.0375
2025-06-25,0.0,1348.4583333333333,19.179166666666667,25.9,14.9,77.58333333333333,6.6,2.629166666666667
2025-06-26,0.0,1580.5916666666665,19.912499999999998,25.3,15.2,67.20833333333333,8.6,2.8125
2025-06-27,0.0,1593.8666666666668,19.479166666666668,25.8,12.3,65.16666666666667,7.0,2.0
2025-06-28,0.0,1604.05,20.25,26.3,15.3,61.791666666666664,9.1,2.858333333333333
2025-06-29,0.0,1521.9583333333333,20.254166666666666,27.4,12.2,57.041666666666664,6.6,2.0791666666666666
2025-06-30,0.0,1597.6583333333335,19.441666666666666,25.5,12.9,62.666666666666664,8.8,2.095833333333333
2025-07-01,0.0,1606.9666666666665,18.95,25.8,11.8,56.666666666666664,9.3,2.0166666666666666
2025-07-02,0.0,1593.8833333333332,18.979166666666668,25.7,11.8,54.583333333333336,9.5,2.5749999999999997
2025-07-03,0.0,1610.1166666666668,18.162499999999998,24.4,11.9,60.125,9.5,2.5124999999999997
2025-07-04,0.0,1220.7,17.816666666666666,23.5,13.0,61.958333333333336,9.2,2.8708333333333336
2025-07-05,0.0,837.4375,17.133333333333333,23.9,10.7,66.0,7.6,2.1625
2025-07-06,0.0,812.4416666666666,17.8,24.6,10.4,62.375,6.3,1.7125000000000001
2025-07-07,0.0,813.9166666666666,18.266666666666666,25.7,10.3,56.833333333333336,7.7,1.8375000000000001
2025-07-08,0.0,751.9208333333335,18.25,25.4,11.2,57.083333333333336,7.8,1.9583333333333333
2025-07-09,0.0,711.6374999999999,19.329166666666666,24.9,14.6,50.166666666666664,8.9,2.3916666666666666
2025-07-10,0.0,782.1791666666667,18.345833333333335,23.9,13.7,51.541666666666664,9.7,3.095833333333333
2025-07-11,0.0,655.9958333333333,18.229166666666668,22.7,14.9,58.125,8.9,3.233333333333333
2025-07-12,0.0,663.7291666666666,17.370833333333334,23.0,12.9,67.41666666666667,10.0,3.1625
2025-07-13,0.0,440.8541666666667,17.308333333333334,22.9,13.7,66.29166666666667,8.1,2.7458333333333336
2025-07-14,0.0,659.25,18.658333333333335,23.6,15.7,56.666666666666664,7.5,2.15
2025-07-15,0.0,737.4,18.020833333333332,23.6,10.8,54.375,7.6,2.379166666666667
2025-07-16,0.0,829.4458333333333,18.675,25.7,11.0,51.666666666666664,7.0,2.1750000000000003
2025-07-17,0.0,822.9333333333334,18.245833333333334,25.6,10.6,55.0,7.0,1.9749999999999999
2025-07-18,0.0,806.375,18.391666666666666,26.9,10.1,55.666666666666664,5.4,1.3875
2025-07-19,0.0,839.3916666666665,18.9375,26.8,10.2,52.958333333333336,6.5,1.6166666666666665
2025-07-20,0.0,817.7916666666666,18.995833333333334,26.9,11.0,52.083333333333336,7.3,1.6125
2025-07-21,0.0,799.7208333333333,20.904166666666665,27.1,15.1,50.583333333333336,7.4,2.3208333333333333
2025-07-22,0.0,785.0166666666668,20.591666666666665,27.8,13.3,53.916666666666664,6.4,1.5916666666666668
2025-07-23,0.0,827.9083333333333,20.8625,27.9,12.8,52.458333333333336,6.7,1.7166666666666668
2025-07-24,0.0,842.6791666666667,20.716666666666665,28.5,12.5,48.5,7.3,1.8833333333333335
2025-07-25,0.0,826.4875000000001,21.8625,27.9,13.9,43.0,6.4,2.1458333333333335
2025-07-26,0.0,824.625,21.283333333333335,28.0,13.6,48.125,7.2,2.0541666666666667
2025-07-27,0.0,847.2958333333332,21.575,27.6,12.4,41.75,7.0,2.0416666666666665
2025-07-28,0.0,818.9833333333332,21.195833333333333,28.8,13.4,44.541666666666664,7.7,1.8499999999999999
2025-07-29,0.0,823.875,21.0,28.7,13.2,55.166666666666664,8.6,1.8875
2025-07-30,0.0,827.0375,20.025000000000002,27.8,13.4,57.875,8.1,1.9583333333333333
2025-07-31,0.0,781.0208333333334,19.729166666666668,27.5,11.4,45.583333333333336,8.1,2.3541666666666665
